"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:75Qj8i60Js6UW4NbWyQgia","Olmaz Olsun","spotify:artist:4i4ALRtQQmFxn3BCIB6iC0","Göksel","spotify:album:0ozI8sbAu9PRzc66xBnO8y","Hayat Rüya Gibi...","spotify:artist:4i4ALRtQQmFxn3BCIB6iC0","Göksel","2010-04-26","https://i.scdn.co/image/ab67616d0000b2736dce96b06b992aec38ff8c9b","1","11","172355","https://p.scdn.co/mp3-preview/5a2b7226aab0fcb4da795ad30291355a4cbbd3a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TR0531002374","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7DCwqBp1HcEHXbwgVrmQxm","Bil Diye Söylüyorum","spotify:artist:2IiSMrjpXiteqhISWXkdUG","Sibel Can","spotify:album:2P4bBDzt5lpOxmfLSesqwh","Hayat","spotify:artist:2IiSMrjpXiteqhISWXkdUG","Sibel Can","2020-08-14","https://i.scdn.co/image/ab67616d0000b273bf161f9047e7ea372672f2cb","1","6","250698","https://p.scdn.co/mp3-preview/b5775828a6fcf8b95422b863d94bcff3c52658e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","TRANG2000034","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6WFiu2h2yeFaK2XVOeLgcG","Kanatlarım Var Ruhumda","spotify:artist:1PpRPZXSS5ka7m5NW2TO7q","Nil Karaibrahimgil","spotify:album:5tDEWY9CimuxMXls6p89kX","Kanatlarım Var Ruhumda","spotify:artist:1PpRPZXSS5ka7m5NW2TO7q","Nil Karaibrahimgil","2014-02-12","https://i.scdn.co/image/ab67616d0000b273317bb846c1e7af1e4754e077","1","1","184080","https://p.scdn.co/mp3-preview/9b87358ee7a88ed850e2da1faa1b860d35e4bfb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","TRABT1300046","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:40Fr7DB1j6RB2DqygQI4LI","Holocaust","spotify:artist:28Qbi9jTj2eej21P2mImZI","Ceza","spotify:album:2rXqr1wMTX1ULlszIUT1lr","Rapstar","spotify:artist:28Qbi9jTj2eej21P2mImZI","Ceza","2004-07-01","https://i.scdn.co/image/ab67616d0000b2732a07bf1912730d354453a4ca","1","3","207746","https://p.scdn.co/mp3-preview/ba8e51400e5e07d9b44722982728a7b6ddabbf70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","TR0640600079","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6lN8zGW83p9Ee4TJWedanB","Teni Tenime","spotify:artist:7CW2eGwAuElNq09rVtZYsM","Sena Şener","spotify:album:4dJnUvIIMRvTq7un0DXS1V","Teni Tenime","spotify:artist:7CW2eGwAuElNq09rVtZYsM","Sena Şener","2020-03-13","https://i.scdn.co/image/ab67616d0000b27384e043cd1528ed670f251ea1","1","1","196099","https://p.scdn.co/mp3-preview/e55f9db8e3250ed203f7e3409ceee6cae3fe55bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","TR0442025801","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3ZkA3JnqluUWzwr64BBkl4","Cambaz","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","spotify:album:0QbpgPjg5eOU5ltJ05r4V7","Dünya Yalan Söylüyor","spotify:artist:5ixQSDvAMa5O758xG8MWXT","mor ve ötesi","2004-04-16","https://i.scdn.co/image/ab67616d0000b27361cd6f5ad7c69b76adbc5419","1","2","230600","https://p.scdn.co/mp3-preview/ceaf95988b240089a1d593d98369c56e2e4a34fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","TR0440600102","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0zLCBJZSiELJf02ucPP9wb","Roses - Imanbek Remix","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ, spotify:artist:5rGrDvrLOV2VV8SCFVGWlj","SAINt JHN, Imanbek","spotify:album:1OmWlObj9gAwNnTNgxBUmz","While The World Was Burning","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ","SAINt JHN","2020-11-20","https://i.scdn.co/image/ab67616d0000b273401883269b2ca70bc343a7d0","1","14","176867","","true","54","RUB421901499","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2G8uYPKcg3HAMnyxAEAwpH","Bir Bakmışsın","spotify:artist:46zuW8tHxwahYn7VNMgYTa","Yalın","spotify:album:4lefgXP8RY8zV7QLQ7DJvS","Bir Bakmışsın","spotify:artist:46zuW8tHxwahYn7VNMgYTa","Yalın","2005-04-13","https://i.scdn.co/image/ab67616d0000b273f59991afdff07d111f06a068","1","2","232907","https://p.scdn.co/mp3-preview/ba36cb5602ec354d3586a29df0516401fdbd9927?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","TR0440600802","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3jM12sAVBL1xjzqbavzQDj","Birden Geldin Aklıma","spotify:artist:799GDxXgsUDuGSbh5HJ3Kv, spotify:artist:7CW2eGwAuElNq09rVtZYsM","Tuna Kiremitçi, Sena Şener","spotify:album:7L4riKGVWO2FTzpv5Pt4Bc","Tuna Kiremitçi ve Arkadaşları","spotify:artist:799GDxXgsUDuGSbh5HJ3Kv","Tuna Kiremitçi","2017-01-06","https://i.scdn.co/image/ab67616d0000b27358270a605e53c3920b600cc2","1","9","216611","https://p.scdn.co/mp3-preview/0d874778955d4935b54f0dbcc82a578a3e16cf1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","TR0441618909","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5YUjVwnxQeYJAxq6bElGWU","Hikayem Bitmedi","spotify:artist:3vJJGsSAF5zQegZo5sJEh6","Can Bonomo","spotify:album:6mjj1uee1pMN5VvrekxIYT","Bulunmam Gerek","spotify:artist:3vJJGsSAF5zQegZo5sJEh6","Can Bonomo","2014-12-15","https://i.scdn.co/image/ab67616d0000b27380cb1ec0ca1c857dfccecfde","1","3","184954","https://p.scdn.co/mp3-preview/f6308dcf3510bdeaf32b33aea926db7ffe81b867?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","TR0531405462","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1x3Ow6I8AbWQyWHXFm5HzP","ANORMAL","spotify:artist:1EPZusBDP8yewhsaKtwktz","ALIZADE","spotify:album:4N73K1AtTOM4p5HXN3s8Nh","ANORMAL","spotify:artist:1EPZusBDP8yewhsaKtwktz","ALIZADE","2022-08-26","https://i.scdn.co/image/ab67616d0000b273513db6f6f9ed7fe2a52db9ee","1","1","114000","https://p.scdn.co/mp3-preview/9c6bf62851efd7052b2f937ad09d7745dd68be6a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","QMBZ92265663","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4oNFpReTeO8DlVcdJINHsX","Yediverenim","spotify:artist:6g7GF7BLC41JTHJwgB4wQW","Funda Arar","spotify:album:7qJXluMkVb8aBsC8OMPlQK","Hoşgeldin","spotify:artist:6g7GF7BLC41JTHJwgB4wQW","Funda Arar","2014","https://i.scdn.co/image/ab67616d0000b2734e0297df5504645f2383133c","1","10","205199","https://p.scdn.co/mp3-preview/fbfab3749e4ba70767b37c04301d8191c749913f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","TR0011400348","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:46UkjegvgJV87vsCyYWvQp","Beni Sen İnandır","spotify:artist:4Bdqzh78prwuqwInMb555P","Pinhani","spotify:album:3JZ934LF60UGYSx5dwgJxR","Kediköy","spotify:artist:4Bdqzh78prwuqwInMb555P","Pinhani","2016-01-08","https://i.scdn.co/image/ab67616d0000b2737acdac85164150b09b48df35","1","5","224716","https://p.scdn.co/mp3-preview/0c7cef22757b8a9c9c73db3afe4f636d8cf04767?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","TR0011500556","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7ySUcLPVX7KudhnmNcgY2D","S&M","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:5QG3tjE5L9F6O2vCAPph38","Loud (Japan Version)","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2010-01-01","https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794","1","1","243600","https://p.scdn.co/mp3-preview/6df4d34ea5aba149846ff5a2e10209dad5b2d1fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71026591","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1xmAW8yK4o2kFIgPT5RCxD","Gelsin Hayat Bildiği Gibi","spotify:artist:28Qbi9jTj2eej21P2mImZI, spotify:artist:64d1rUxfizSAOE9UbMnUZd","Ceza, Sezen Aksu","spotify:album:10CwjWqsjmBVbs1eOHcFz5","Yerli Plaka","spotify:artist:28Qbi9jTj2eej21P2mImZI","Ceza","2007-02-13","https://i.scdn.co/image/ab67616d0000b2734a7f13cd6d9d7d1ab9bfda35","1","3","295826","https://p.scdn.co/mp3-preview/3cf8dd7c3e2b85117d18f426b0af553d3d712497?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","TR0640600018","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:48laGKFr73HmALqSKqlzv0","Benim İçin Üzülme","spotify:artist:0OjAaymO59uGiFmfpJrQpl","Bergen","spotify:album:75qpnDwZZv4o7rfxoykj2H","Acıların Kadını","spotify:artist:0OjAaymO59uGiFmfpJrQpl","Bergen","1998-06-18","https://i.scdn.co/image/ab67616d0000b273f3ced05792546f8eae493fb5","1","4","302641","https://p.scdn.co/mp3-preview/33af239c16883704943fcf0c34a89f6e9002ccc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","TR1290600042","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5G8EeDWPSoLYl5ba9yE0aP","Benden Sana","spotify:artist:1PpRPZXSS5ka7m5NW2TO7q","Nil Karaibrahimgil","spotify:album:0y8kN6n66co1EbYPCzSE98","Benden Sana","spotify:artist:1PpRPZXSS5ka7m5NW2TO7q","Nil Karaibrahimgil","2017-03-24","https://i.scdn.co/image/ab67616d0000b273cfed060bf733693b1dc4444a","1","1","183168","https://p.scdn.co/mp3-preview/e653b567a83b31a5f75c3b608596095a5560ffa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FR96X1803079","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7Is0OPWVcN8DdZpcNuClcy","Feel (feat. Sena Sener) - Radio Edit","spotify:artist:3t8WiyalpvnB9AObcMufiE, spotify:artist:7CW2eGwAuElNq09rVtZYsM","Mahmut Orhan, Sena Şener","spotify:album:1IIRSV2JGOm5a6GEhDBcet","Feel (feat. Sena Sener) [Radio Edit]","spotify:artist:3t8WiyalpvnB9AObcMufiE","Mahmut Orhan","2016-02-17","https://i.scdn.co/image/ab67616d0000b273ab4ebea549bc4ad0407e69e3","1","1","172558","https://p.scdn.co/mp3-preview/fd713063fe8a857f1121be95a78a15a637b47dcc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","CAI7Z1600001","spotify:user:","1970-01-01T00:00:00Z"
